City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,40,6.91,scattered clouds
311,Bara,NG,10.3744,10.7288,63.43,28,62,5.37,broken clouds
312,Fairbanks,US,64.8378,-147.7164,-9.4,78,0,0.0,clear sky
313,Jacareacanga,BR,-6.2222,-57.7528,71.89,98,76,1.79,broken clouds
314,Pringsewu,ID,-5.3582,104.9744,87.85,52,77,6.24,broken clouds
315,Atar,MR,20.5169,-13.0499,64.89,21,0,7.52,clear sky
316,Mahebourg,MU,-20.4081,57.7,79.25,83,40,6.91,scattered clouds
317,Ayan,RU,56.45,138.1667,-8.3,92,100,28.07,overcast clouds
318,Muroto,JP,33.2833,134.15,65.19,67,99,16.15,overcast clouds
319,Parker,US,32.7668,-97.8003,47.84,64,0,13.0,clear sky
320,Itoman,JP,26.1247,127.6694,71.98,83,75,26.46,broken clouds
321,Lompoc,US,34.6391,-120.4579,49.78,89,0,3.44,clear sky
322,Nawa,IN,27.0167,75.0,67.66,20,11,3.67,few clouds
323,Mariakani,KE,-3.8633,39.4736,75.29,89,89,0.47,overcast clouds
324,Gualaquiza,EC,-3.4,-78.55,62.44,86,60,1.95,broken clouds
325,Beloha,MG,-25.1667,45.05,73.89,76,100,6.98,overcast clouds
326,Huejuquilla El Alto,MX,22.6,-103.8667,54.66,62,10,0.47,clear sky
327,Kaifeng,CN,34.7911,114.3483,28.29,19,98,3.96,overcast clouds
328,Bud,US,39.447,-86.1758,60.82,83,94,14.61,overcast clouds
329,Necochea,AR,-38.5473,-58.7368,61.59,95,87,12.28,overcast clouds
330,Teonthar,IN,24.9833,81.65,70.7,42,38,0.6,scattered clouds
331,Pacific Grove,US,36.6177,-121.9166,49.68,81,0,3.44,clear sky
332,Iquitos,PE,-3.7481,-73.2472,75.24,94,0,2.3,clear sky
333,Hirara,JP,24.8,125.2833,73.26,88,75,29.93,broken clouds
334,San Patricio,US,28.017,-97.5169,71.83,92,1,3.85,clear sky
335,Jerome,US,42.7241,-114.5186,24.44,78,100,4.61,overcast clouds
336,Koslan,RU,63.4564,48.8989,23.18,97,100,5.26,overcast clouds
337,Faya,SA,18.3851,42.4509,50.11,64,1,1.19,clear sky
338,Amalapuram,IN,16.5833,82.0167,80.64,56,4,3.78,clear sky
339,Rivers,CA,50.0308,-100.2403,9.55,84,98,17.2,overcast clouds
340,Taoudenni,ML,22.6783,-3.9836,60.58,20,0,10.25,clear sky
341,Timra,SE,62.487,17.3257,34.68,93,100,2.3,light rain
342,Clyde River,CA,70.4692,-68.5914,-19.97,69,0,6.91,clear sky
343,Visnes,NO,59.3556,5.2242,45.21,65,100,6.91,overcast clouds
344,Abong Mbang,CM,3.9833,13.1833,67.44,94,100,2.44,light rain
345,Huron,US,41.1501,-82.5499,54.84,70,18,24.27,few clouds
346,San Vicente,AR,-26.6167,-54.1333,62.22,93,79,3.18,broken clouds
