City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
458,Loandjili,CG,73.51,scattered clouds,-4.7561,11.8578,Le Raphia Guest House
461,Homer,US,17.76,broken clouds,59.6425,-151.5483,Driftwood Inn & Homer Seaside Lodges
462,Meulaboh,ID,81.16,overcast clouds,4.1363,96.1285,Hotel Meuligou
467,Sijunjung,ID,84.31,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
468,Akyab,MM,84.22,clear sky,20.15,92.9,Yuzana Aung Motel 1
470,Santa Rosalia,MX,62.06,overcast clouds,27.3167,-112.2833,Hotel del Real
472,Kashi,CN,18.61,dust,39.4547,75.9797,深航国际酒店
474,Pontefract,GB,39.09,broken clouds,53.6911,-1.3127,Kings Croft Hotel
476,Garissa,KE,75.65,broken clouds,-0.4536,39.6401,Hiddig Hotel
478,Guadalupe,MX,73.35,few clouds,25.6833,-100.25,Hotel Ejecutivo
479,Olafsvik,IS,44.01,overcast clouds,64.8945,-23.7142,North Star Hotel Snæfellsnes
480,Puerto Padre,CU,76.41,few clouds,21.195,-76.6028,Hostal El Paseo
481,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
483,Port Hawkesbury,CA,31.78,overcast clouds,45.6169,-61.3485,Hearthstone Inn Port Hawkesbury
485,Berberati,CF,66.99,overcast clouds,4.2612,15.7922,Hotel Mont Fleury
486,Dunedin,NZ,56.8,light rain,-45.8742,170.5036,Scenic Hotel Dunedin City
489,Takefu,JP,56.16,overcast clouds,35.9039,136.1669,ユーライフレオパレス21
490,Foundiougne,SN,70.45,clear sky,14.1333,-16.4667,Chez Anne Marie
491,Sarkand,KZ,28.0,light snow,45.41,79.9186,Сарканд
492,Faro,PT,52.18,clear sky,37.0194,-7.9322,Best Western Hotel Dom Bernardo
493,Kilindoni,TZ,78.91,light rain,-7.9139,39.6668,Ibizza Inn
495,Husavik,IS,36.12,broken clouds,66.0449,-17.3389,Fosshótel Húsavík
497,Lovozero,RU,18.07,scattered clouds,68.005,35.0117,Гостиница
502,La Maddalena,IT,55.45,broken clouds,41.2142,9.4083,Hotel Excelsior
503,Kapuskasing,CA,33.8,snow,49.4169,-82.4331,Travelodge
504,Malindi,KE,77.16,scattered clouds,-3.2175,40.1191,Young Safari
508,Minot,US,12.78,overcast clouds,48.2325,-101.2963,Hampton Inn & Suites
514,Rudsar,IR,57.18,overcast clouds,37.1376,50.288,هتل بهار
515,Prince Rupert,CA,26.29,clear sky,54.3161,-130.3201,Crest Hotel
518,Bajil,YE,75.38,clear sky,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
520,Diamantino,BR,74.57,few clouds,-14.4086,-56.4461,Hotel kayaby
521,Besikduzu,TR,55.29,overcast clouds,41.052,39.2284,Öğretmenevi
522,Bull Savanna,JM,73.13,clear sky,17.8868,-77.5902,Junction Guest House
524,Noeux-Les-Mines,FR,42.82,clear sky,50.4801,2.6657,Lycée Marguerite Yourcenar - Hôtel d'application
529,Puerto Leguizamo,CO,72.95,broken clouds,-0.1934,-74.7819,Hotel Girasoles
530,Jalu,LY,56.68,clear sky,29.0331,21.5482,فندق جالو السياحي
531,Soyo,AO,73.9,moderate rain,-6.1349,12.3689,Hotel Maria Teres
532,Clovis,US,49.84,clear sky,36.8252,-119.7029,BEST WESTERN Clovis Cole
533,Valdivia,CL,57.29,overcast clouds,-39.8142,-73.2459,Esmeralda
534,Ratnagiri,IN,82.18,clear sky,16.9833,73.3,Vihar
